id;name;unit;address;tel
1;Ball Computer blue;tan;Dong Account integrate;Integrated
2;alarm Pierre back-end;ADP Mall;synthesizing HTTP Card;matrix Pula transmit
3;Accountability;Decentralized;wireless;open-source
4;Distributed;Car salmon TCP;United Frozen;frame Guinea-Bissau full-range
5;infomediaries;homogeneous Dynamic;innovate Park Handcrafted;Berkshire support
6;Pennsylvania Incredible Computers;Computer Implemented Chicken;sensor;index Loan GB
7;digital green overriding;redundant Buckinghamshire;Chicken;Bedfordshire SMS
8;Ergonomic interface green;withdrawal solution-oriented;Licensed Account bluetooth;systemic backing
9;Virginia;Associate;distributed;matrix Grocery
10;Keyboard;transmit Health;Shilling web-readiness;action-items Senior Global
